HUKUMAR,password,SCSE,true,STAFF
OURIN,password,ADM,true,STAFF
UPAM,password,EEE,true,STAFF
ANWIT,password,SCSE,true,STAFF
ARVI,password,NBS,true,STAFF
YCHERN,password,SCSE,true,STUDENT
KOH1,password,ADM,true,STUDENT
BR015,password,EEE,true,STUDENT
CT113,password,SCSE,true,STUDENT
YCN019,password,NBS,true,STUDENT
DL007,password,SCSE,true,STUDENT
DON84,password,ADM,true,STUDENT
ELI34,password,EEE,true,STUDENT
LE51,password,SCSE,true,STUDENT
SL22,password,NBS,true,STUDENT
AKY013,password,SSS,true,STUDENT
